DATE,GDP
2017-01-01,103.80000230059
2017-04-01,104.759996745864
2017-07-01,105.420002427417
2017-10-01,106.420002424112
2018-01-01,105.777510571818
2018-04-01,106.637488494942
2018-07-01,105.647510373978
2018-10-01,106.557489288286
2019-01-01,107.287501380329
2019-04-01,107.2475024379
2019-07-01,107.227498340391
2019-10-01,107.547497810614
2020-01-01,105.647438996863
2020-04-01,95.9076667749186
2020-07-01,104.457459554761
2020-10-01,105.277439857254
2021-01-01,103.937546002097
2021-04-01,106.257499202766
2021-07-01,106.967480761331
2021-10-01,106.977481488287
2022-01-01,108.050001956096
2022-04-01,107.909998387703
2022-07-01,108.300000303022
2022-10-01,107.860006649109
2023-01-01,107.759996735951
2023-04-01,107.780007442452
