long,lat,elevat
5.625,51.9860992431641,7.0
5.625,53.2350006103516,1.0
6.25,43.5559005737305,318.0
6.25,43.8680992126465,1360.0
6.25,45.1170997619629,2658.0
6.25,49.1759986877441,209.0
6.25,50.4249992370605,580.0
6.25,51.673900604248,27.0
6.25,51.9860992431641,13.0
6.25,53.2350006103516,1.0
6.875,43.5559005737305,253.0
6.875,43.8680992126465,703.0
6.875,45.1170997619629,2036.0
6.875,49.1759986877441,221.0
6.875,50.4249992370605,509.0
6.875,51.673900604248,29.0
6.875,51.9860992431641,50.0
6.875,53.2350006103516,-2.0
7.5,43.8680992126465,588.0
7.5,45.1170997619629,331.0
7.5,49.1759986877441,342.0
7.5,50.4249992370605,61.0
7.5,51.673900604248,83.0
7.5,51.9860992431641,65.0
7.5,53.2350006103516,1.0
8.125,45.1170997619629,254.0
8.125,49.1759986877441,156.0
8.125,50.4249992370605,193.0
8.125,51.673900604248,72.0
8.125,51.9860992431641,62.0
8.125,53.2350006103516,15.0
8.75,42.306999206543,832.0
8.75,45.1170997619629,80.0
8.75,49.1759986877441,176.0
8.75,50.4249992370605,210.0
8.75,51.673900604248,223.0
8.75,51.9860992431641,113.0
8.75,53.2350006103516,42.0
9.375,42.306999206543,1047.0
9.375,45.1170997619629,50.0
9.375,46.3660011291504,1751.0
9.375,49.1759986877441,254.0
9.375,50.4249992370605,474.0
9.375,51.673900604248,102.0
9.375,51.9860992431641,191.0
9.375,53.2350006103516,29.0
10.0,45.1170997619629,31.0
10.0,49.1759986877441,408.0
10.0,50.4249992370605,544.0
10.0,51.673900604248,257.0
10.0,51.9860992431641,208.0
10.0,53.2350006103516,45.0
10.0,57.2939987182617,23.0
10.625,43.5559005737305,58.0
10.625,43.8680992126465,44.0
10.625,45.1170997619629,16.0
10.625,46.3660011291504,2105.0
10.625,49.1759986877441,418.0
10.625,50.4249992370605,430.0
10.625,51.673900604248,584.0
10.625,51.9860992431641,111.0
10.625,53.2350006103516,35.0
11.25,43.5559005737305,292.0
11.25,43.8680992126465,423.0
11.25,45.1170997619629,4.0
11.25,46.3660011291504,207.0
11.25,49.1759986877441,440.0
11.25,50.4249992370605,620.0
11.25,51.673900604248,360.0
11.25,51.9860992431641,77.0
11.25,53.2350006103516,18.0
11.25,58.8550987243652,18.0
11.875,42.306999206543,183.0
11.875,43.5559005737305,385.0
11.875,43.8680992126465,588.0
11.875,45.1170997619629,5.0
11.875,46.3660011291504,1160.0
11.875,49.1759986877441,478.0
11.875,50.4249992370605,563.0
11.875,51.673900604248,76.0
11.875,51.9860992431641,50.0
11.875,53.2350006103516,59.0
11.875,58.5429000854492,125.0
11.875,58.8550987243652,133.0
12.5,42.306999206543,64.0
